faculty,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,stat_id,stat_label,source_file,source_url,fetched_at_utc,error,order,param_year,param_semester,param_semestercurrent,param_admityear,param_fac,param_level,param_sex,param_student_type,param_nat,total_col,total_count,faculty_code,faculty_name,c1_label,c2_label,c3_label,c4_label,c5_label,c6_label,c7_label,c8_label,c9_label,c10_label,major,program_code,program_name,c11,c11_label,level,curriculum,curriculum_type,nationality_id_for_check,nationality_th,nationality_id,iso_alpha3,is_international,c12,c12_label,row_count,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c13_label,c14_label,c15_label,c16_label,c17_label,c18_label,c19_label,c20_label,c21_label,c22_label,c23_label,c24_label,c25_label,c26_label,c27_label,c28_label,c29_label,c30_label,c31_label,c32_label,c33_label,c34_label,c35_label,c36_label,c37_label,c38_label,c39_label,c40_label,c41_label,c42_label,c43_label,c44_label,c45_label,c46_label,c47_label,c48_label,c49_label,c50_label,c51_label,c52_label,c53_label,c54_label,c55_label,c56_label,c57_label
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (สูติศาสตร์และนรีเวชวิทยา),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (สูติศาสตร์และนรีเวชวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (อายุรศาสตร์),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (อายุรศาสตร์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (ศัลยศาสตร์ออโธปิดิกส์),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (ศัลยศาสตร์ออโธปิดิกส์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (จุลชีววิทยา),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (จุลชีววิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (นิติเวชศาสตร์),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (นิติเวชศาสตร์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (พยาธิวิทยา),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (พยาธิวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (เวชศาสตร์ฟื้นฟู),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (เวชศาสตร์ฟื้นฟู),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิต (เวชศาสตร์ครอบครัว),,,ประกาศนียบัตรบัณฑิต,ป.บัณฑิต (เวชศาสตร์ครอบครัว),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,3.0,1.0,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,1.0,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (กายวิภาคศาสตร์),,,ปริญญาโท,วท.ม. (กายวิภาคศาสตร์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (จุลชีววิทยา),,,ปริญญาโท,วท.ม. (จุลชีววิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,16.0,3.0,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,3.0,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (จุลชีววิทยา),,,ปริญญาโท,วท.ม. (จุลชีววิทยา),นานาชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,22.0,7.0,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,7.0,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (ชีวเคมี),,,ปริญญาโท,วท.ม. (ชีวเคมี),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,7.0,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (เภสัชวิทยา),,,ปริญญาโท,วท.ม. (เภสัชวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (ปรสิตวิทยา),,,ปริญญาโท,วท.ม. (ปรสิตวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,4.0,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (ปรสิตวิทยา),,,ปริญญาโท,วท.ม. (ปรสิตวิทยา),นานาชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,4.0,2.0,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,2.0,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (สรีรวิทยา),,,ปริญญาโท,วท.ม. (สรีรวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,20.0,8.0,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,8.0,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (พิษวิทยา),,,ปริญญาโท,วท.ม. (พิษวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,18.0,7.0,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,7.0,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (ฟิสิกส์การแพทย์),,,ปริญญาโท,วท.ม. (ฟิสิกส์การแพทย์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (ฟิสิกส์การแพทย์),,,ปริญญาโท,วท.ม. (ฟิสิกส์การแพทย์),นานาชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (วิทยาศาสตร์การแพทย์คลินิก),,,ปริญญาโท,วท.ม. (วิทยาศาสตร์การแพทย์คลินิก),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (วิทยาศาสตร์การแพทย์คลินิก),,,ปริญญาโท,วท.ม. (วิทยาศาสตร์การแพทย์คลินิก),นานาชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (สูติศาสตร์และนรีเวชวิทยา),,,ปริญญาโท,วท.ม. (สูติศาสตร์และนรีเวชวิทยา),นานาชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,1.0,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,วท.ม. (วิทยาศาสตร์การแพทย์),,,ปริญญาโท,วท.ม. (วิทยาศาสตร์การแพทย์),นานาชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (กุมารเวชศาสตร์),,,ประกาศนียบัตรบัณฑิตชั้นสูง,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (กุมารเวชศาสตร์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (จักษุวิทยา),,,ประกาศนียบัตรบัณฑิตชั้นสูง,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (จักษุวิทยา),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (จิตเวชศาสตร์),,,ประกาศนียบัตรบัณฑิตชั้นสูง,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (จิตเวชศาสตร์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,,,,,,,,,,,s001010,over_program_length_students,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001010?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:20+00:00,,ff,2569,1,1,999,999,999,999,999,999,c2,,07,คณะแพทยศาสตร์,จำนวนนักศึกษา ณ ปัจจุบัน,นักศึกษาที่เรียนเกินหลักสูตร,,,,,,,,,,,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (นิติเวชศาสตร์),,,ประกาศนียบัตรบัณฑิตชั้นสูง,ป.บัณฑิตชั้นสูง วิทยาศาสตร์การแพทย์คลินิก (นิติเวชศาสตร์),ไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
