stat_id,faculty_code,faculty_name,program_code,program_name,level,curriculum_type,current_students,param_year,param_semester,param_admityear,source_file
s001004,06,คณะวิศวกรรมศาสตร์,15,วิศวกรรมอุตสาหการและการจัดการโลจิสติกส์,,,112.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,17,วิศวกรรมเหมืองแร่และปิโตรเลียม,,,112.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,04,คณะสังคมศาสตร์,10,สังคมศาสตร์และการพัฒนาอย่างยั่งยืน,,,109.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,02,คณะศึกษาศาสตร์,24,เคมี,,,108.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,13,คณะอุตสาหกรรมเกษตร,08,นวัตกรรมอุตสาหกรรมเกษตรและการเป็นผู้ประกอบการ,,,106.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,05,คณะวิทยาศาสตร์,01,ชีววิทยา,,,105.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,05,คณะวิทยาศาสตร์,13,อัญมณีวิทยา,,,105.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,17,คณะสถาปัตยกรรมศาสตร์,05,การออกแบบอุตสาหกรรม,,,105.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,12,คณะพยาบาลศาสตร์,02,ประกาศนียบัตรผู้ช่วยพยาบาล,,,99.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,16,วิศวกรรมเครื่องกลและการบริหารโครงการวิศวกรรม,,,97.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,02,คณะศึกษาศาสตร์,22,ฟิสิกส์,,,96.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,05,ศาสตร์แห่งความยั่งยืน,,,94.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,02,คณะศึกษาศาสตร์,23,ชีววิทยา,,,91.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,16,ภาษาไทยในฐานะภาษาต่างประเทศ,,,84.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,17,ภาษาและวัฒนธรรมพม่า,,,80.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,14,วิศวกรรมไฟฟ้าและเทคโนโลยีโครงข่ายไฟฟ้าอัจฉริยะ,,,76.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,10,วิศวกรรมระบบสารสนเทศและเครือข่าย,,,76.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,02,คณะศึกษาศาสตร์,28,อุตสาหกรรมและการงานอาชีพ,,,74.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,05,คณะวิทยาศาสตร์,12,สัตววิทยา,,,70.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,14,คณะสัตวแพทยศาสตร์,03,การพยาบาลสัตว์,,,61.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,17,คณะสถาปัตยกรรมศาสตร์,03,การออกแบบเชิงบูรณาการสถาปัตยกรรมแนวใหม่,,,59.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,06,วิศวกรรมเหมืองแร่,,,57.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,09,คณะทันตแพทยศาสตร์,01,ประกาศนียบัตรผู้ช่วยทันตแพทย์,,,54.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,02,คณะศึกษาศาสตร์,16,อุตสาหกรรมศึกษา,,,50.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,20,ศิลปะการอาหารเชิงนวัตกรรมและการเป็นผู้ประกอบการ,,,47.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,21,ภาษาและวัฒนธรรมเมียนมา,,,40.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,11,คณะเทคนิคการแพทย์,06,วิทยาศาสตร์สื่อความหมายและความผิดปกติของการสื่อความหมาย,,,36.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,20,ระบบสารสนเทศและความมั่นคงปลอดภัยไซเบอร์,,,34.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,19,วิศวกรรมเซมิคอนดักเตอร์,,,34.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,08,คณะเกษตรศาสตร์,01,เศรษฐศาสตร์เกษตร,,,23.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,03,คณะวิจิตรศิลป์,04,ศิลปะไทย,,,20.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,08,ปรัชญา,,,18.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,15,การท่องเที่ยว,,,12.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,11,ภาษาญี่ปุ่น,,,11.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,04,ประวัติศาสตร์,,,8.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,06,คณะวิศวกรรมศาสตร์,18,วิศวกรรมบูรณาการและพหุวิทยาการ,,,7.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,13,ภาษาจีน,,,6.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,01,คณะมนุษยศาสตร์,10,ภาษาไทย,,,4.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,03,คณะวิจิตรศิลป์,11,ศิลปะการดนตรีและการแสดง,,,1.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001004,04,คณะสังคมศาสตร์,07,สังคมศาสตร์,,,1.0,2569,1,999,data_s001004__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
