nationality_id,iso_alpha3,nationality_name,faculty_code,faculty_name,student_count,param_year,param_semester,source_file
PK,PAK,ปากีสถาน (Pakistani),24,นานาชาตินวัตกรรมดิจิทัล,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PK_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bd937575.json
VN,VNM,เวียดนาม (Vietnamese),28,พหุวิทยาการและสหวิทยาการ,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-VN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__7888b8b9.json
IN,IND,อินเดีย (Indian),24,นานาชาตินวัตกรรมดิจิทัล,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
ID,IDN,อินโดนีเซีย (Indonesian),08,เกษตรศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
LA,LAO,ลาว (Lao),18,การสื่อสารมวลชน,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-LA_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5921e99d.json
BD,BGD,บังกลาเทศ (Bangladeshi),16,เศรษฐศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
ID,IDN,อินโดนีเซีย (Indonesian),25,นโยบายสาธารณะ,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
ID,IDN,อินโดนีเซีย (Indonesian),22,สาธารณสุขศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
IN,IND,อินเดีย (Indian),27,วิจัยวิทยาศาสตร์สุขภาพ,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
ID,IDN,อินโดนีเซีย (Indonesian),17,สถาปัตยกรรมศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-ID_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__888ba8d1.json
IN,IND,อินเดีย (Indian),06,วิศวกรรมศาสตร์,2.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
