nationality_id,iso_alpha3,nationality_name,faculty_code,faculty_name,student_count,param_year,param_semester,source_file
NP,NPL,เนปาล (Nepalese),28,พหุวิทยาการและสหวิทยาการ,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-NP_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__06b192ce.json
IN,IND,อินเดีย (Indian),13,อุตสาหกรรมเกษตร,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
PH,PHL,ฟิลิปปินส์ (Filipino),04,สังคมศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),06,วิศวกรรมศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),11,เทคนิคการแพทย์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
IN,IND,อินเดีย (Indian),08,เกษตรศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
IN,IND,อินเดีย (Indian),05,วิทยาศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-IN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2208310c.json
PH,PHL,ฟิลิปปินส์ (Filipino),15,บริหารธุรกิจ,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),16,เศรษฐศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
PH,PHL,ฟิลิปปินส์ (Filipino),21,ศิลปะ สื่อ และเทคโนโลยี,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
MM,MMR,เมียนมา (Myanmar),10,เภสัชศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
PH,PHL,ฟิลิปปินส์ (Filipino),27,วิจัยวิทยาศาสตร์สุขภาพ,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-PH_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__bb7cf648.json
BD,BGD,บังกลาเทศ (Bangladeshi),01,มนุษยศาสตร์,1.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-BD_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a0836a68.json
