stat_id,faculty_code,faculty_name,program_code,program_name,level,curriculum_type,current_students,param_year,param_semester,param_admityear,source_file
s001007,05,คณะวิทยาศาสตร์,27,ดาราศาสตร์,,,9.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,07,คณะแพทยศาสตร์,02,จุลชีววิทยา,,,9.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,06,คณะวิศวกรรมศาสตร์,19,วิศวกรรมเทคโนโลยีพลาสมาและระบบกลไฟฟ้าจุลภาค,,,9.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,01,คณะมนุษยศาสตร์,02,จิตวิทยา,,,9.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,05,คณะวิทยาศาสตร์,12,ธรณีฟิสิกส์ประยุกต์,,,8.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,05,คณะวิทยาศาสตร์,12,วิทยาศาสตร์สิ่งแวดล้อม,,,8.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,03,คณะวิจิตรศิลป์,05,ศิลปะและการออกแบบ,,,8.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,01,คณะมนุษยศาสตร์,22,มนุษยศาสตร์,,,8.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,07,คณะแพทยศาสตร์,09,เวชศาสตร์ชุมชน,,,8.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,18,คณะการสื่อสารมวลชน,01,การสื่อสารบูรณาการ,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,01,คณะมนุษยศาสตร์,02,ปรัชญา,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,07,คณะแพทยศาสตร์,04,เภสัชวิทยา,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,01,คณะมนุษยศาสตร์,05,ประวัติศาสตร์,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,05,คณะวิทยาศาสตร์,16,วัสดุศาสตร์,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,10,คณะเภสัชศาสตร์,05,เภสัชกรรมคลินิก,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,05,คณะวิทยาศาสตร์,30,สถิติประยุกต์และการวิเคราะห์เชิงลึก,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,07,คณะแพทยศาสตร์,13,นิติวิทยากระดูกและฟัน,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,13,คณะอุตสาหกรรมเกษตร,04,เทคโนโลยีการบรรจุ,,,7.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,05,คณะวิทยาศาสตร์,07,ธรณีวิทยา,,,6.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,06,คณะวิศวกรรมศาสตร์,17,วิศวกรรมเชิงคำนวณขั้นสูงและการออกแบบ,,,6.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,11,คณะเทคนิคการแพทย์,09,เทคนิคการแพทย์และการจัดการข้อมูล,,,6.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
