stat_id,faculty_code,faculty_name,program_code,program_name,admit_year,graduation_year,graduation_semester,graduate_count,source_file
s003003,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,03,การจัดการความรู้และนวัตกรรม,2567.0,2569.0,1,2.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,29,สุขภาพจิต,2567.0,2569.0,1,2.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,08,คณะเกษตรศาสตร์,,,2567.0,2569.0,1,1.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,11,คณะเทคนิคการแพทย์,,,2567.0,2569.0,1,1.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,,,2567.0,2569.0,1,1.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,27,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,,,2567.0,2569.0,1,1.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,14,คณะสัตวแพทยศาสตร์,,,2568.0,2569.0,1,1.0,data_s003001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003001,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,,,2568.0,2569.0,1,1.0,data_s003001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003001,22,คณะสาธารณสุขศาสตร์,,,2568.0,2569.0,1,1.0,data_s003001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003002,07,คณะแพทยศาสตร์,,,3499.0,2569.0,1,1.0,data_s003002__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s003003,02,คณะศึกษาศาสตร์,22,ประเมินผลและวิจัยการศึกษา,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,06,คณะวิศวกรรมศาสตร์,01,วิศวกรรมและการบริหารการก่อสร้าง,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,06,คณะวิศวกรรมศาสตร์,02,วิศวกรรมโยธา,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,06,คณะวิศวกรรมศาสตร์,03,วิศวกรรมอุตสาหการ,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,06,คณะวิศวกรรมศาสตร์,10,การจัดการอุตสาหกรรม,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,06,คณะวิศวกรรมศาสตร์,03,วิศวกรรมพลังงาน,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,06,คณะวิศวกรรมศาสตร์,08,วิศวกรรมคอมพิวเตอร์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,07,คณะแพทยศาสตร์,06,สรีรวิทยา,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,07,คณะแพทยศาสตร์,08,ฟิสิกส์การแพทย์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,08,คณะเกษตรศาสตร์,08,กีฏวิทยา,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,09,คณะทันตแพทยศาสตร์,09,ทันตแพทยศาสตร์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,10,คณะเภสัชศาสตร์,06,วิทยาศาสตร์เภสัชกรรม,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,10,คณะเภสัชศาสตร์,08,วิทยาศาสตร์เครื่องสำอาง,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,11,คณะเทคนิคการแพทย์,03,วิทยาศาสตร์รังสีการแพทย์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,15,คณะบริหารธุรกิจ,08,นวัตกรรมธุรกิจสำหรับผู้บริหาร,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,27,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,01,การวิจัยวิทยาศาสตร์สุขภาพ,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,15,นิติวิทยาศาสตร์,2567.0,2569.0,1,1.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
