admission_scope,admit_year,faculty_code,faculty_name,issued_male,issued_female,issued_total,waived_male,waived_female,waived_total,remaining_male,remaining_female,remaining_total,waive_rate,yield_rate,source_file
first_generation,2569,,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,100.0,134.0,234.0,0.0,0.0,0.0,100.0,134.0,234.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะสังคมศาสตร์,85.0,139.0,224.0,0.0,0.0,0.0,85.0,139.0,224.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะเทคนิคการแพทย์,67.0,135.0,202.0,0.0,0.0,0.0,67.0,135.0,202.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะพยาบาลศาสตร์,35.0,167.0,202.0,0.0,0.0,0.0,35.0,167.0,202.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะแพทยศาสตร์,91.0,82.0,173.0,0.0,0.0,0.0,91.0,82.0,173.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะสถาปัตยกรรมศาสตร์,62.0,81.0,143.0,0.0,0.0,0.0,62.0,81.0,143.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะเภสัชศาสตร์,51.0,75.0,126.0,0.0,0.0,0.0,51.0,75.0,126.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,57.0,47.0,104.0,0.0,0.0,0.0,57.0,47.0,104.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะสัตวแพทยศาสตร์,27.0,58.0,85.0,0.0,0.0,0.0,27.0,58.0,85.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะทันตแพทยศาสตร์,23.0,53.0,76.0,0.0,0.0,0.0,23.0,53.0,76.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,วิทยาลัยพหุวิทยาการและสหวิทยาการ,11.0,17.0,28.0,0.0,0.0,0.0,11.0,17.0,28.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,คณะสาธารณสุขศาสตร์,9.0,12.0,21.0,0.0,0.0,0.0,9.0,12.0,21.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,สถาบันนโยบายสาธารณะ,5.0,2.0,7.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,สถาบันวิศวกรรมชีวการแพทย์,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2569,,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,data_s002002__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
first_generation,2568,,คณะวิศวกรรมศาสตร์,425.0,217.0,642.0,0.0,0.0,0.0,425.0,217.0,642.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะมนุษยศาสตร์,161.0,387.0,548.0,0.0,0.0,0.0,161.0,387.0,548.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะวิทยาศาสตร์,186.0,287.0,473.0,0.0,0.0,0.0,186.0,287.0,473.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะเกษตรศาสตร์,131.0,254.0,385.0,0.0,0.0,0.0,131.0,254.0,385.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะเศรษฐศาสตร์,138.0,217.0,355.0,0.0,0.0,0.0,138.0,217.0,355.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะบริหารธุรกิจ,98.0,255.0,353.0,0.0,0.0,0.0,98.0,255.0,353.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะศึกษาศาสตร์,118.0,223.0,341.0,0.0,0.0,0.0,118.0,223.0,341.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะอุตสาหกรรมเกษตร,84.0,221.0,305.0,0.0,0.0,0.0,84.0,221.0,305.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะวิจิตรศิลป์,79.0,170.0,249.0,0.0,0.0,0.0,79.0,170.0,249.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะสังคมศาสตร์,60.0,148.0,208.0,0.0,0.0,0.0,60.0,148.0,208.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะพยาบาลศาสตร์,30.0,167.0,197.0,0.0,0.0,0.0,30.0,167.0,197.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,77.0,120.0,197.0,0.0,0.0,0.0,77.0,120.0,197.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,114.0,76.0,190.0,0.0,0.0,0.0,114.0,76.0,190.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะเทคนิคการแพทย์,49.0,130.0,179.0,0.0,0.0,0.0,49.0,130.0,179.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะนิติศาสตร์,47.0,130.0,177.0,0.0,0.0,0.0,47.0,130.0,177.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะการสื่อสารมวลชน,61.0,110.0,171.0,0.0,0.0,0.0,61.0,110.0,171.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะสถาปัตยกรรมศาสตร์,46.0,63.0,109.0,0.0,0.0,0.0,46.0,63.0,109.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะแพทยศาสตร์,47.0,49.0,96.0,0.0,0.0,0.0,47.0,49.0,96.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,46.0,40.0,86.0,0.0,0.0,0.0,46.0,40.0,86.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะเภสัชศาสตร์,25.0,53.0,78.0,0.0,0.0,0.0,25.0,53.0,78.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะสัตวแพทยศาสตร์,15.0,37.0,52.0,0.0,0.0,0.0,15.0,37.0,52.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะทันตแพทยศาสตร์,19.0,28.0,47.0,0.0,0.0,0.0,19.0,28.0,47.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,วิทยาลัยพหุวิทยาการและสหวิทยาการ,7.0,22.0,29.0,0.0,0.0,0.0,7.0,22.0,29.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,คณะสาธารณสุขศาสตร์,4.0,9.0,13.0,0.0,0.0,0.0,4.0,9.0,13.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,3.0,8.0,11.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,สถาบันนโยบายสาธารณะ,1.0,7.0,8.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2568,,สถาบันวิศวกรรมชีวการแพทย์,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,data_s002002__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
first_generation,2567,,คณะวิศวกรรมศาสตร์,359.0,229.0,588.0,0.0,0.0,0.0,359.0,229.0,588.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะมนุษยศาสตร์,153.0,373.0,526.0,0.0,1.0,1.0,153.0,372.0,525.0,0.0019011406844106464,0.9980988593155894,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะวิทยาศาสตร์,165.0,328.0,493.0,0.0,0.0,0.0,165.0,328.0,493.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะเกษตรศาสตร์,106.0,253.0,359.0,0.0,0.0,0.0,106.0,253.0,359.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะเศรษฐศาสตร์,124.0,224.0,348.0,0.0,0.0,0.0,124.0,224.0,348.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะศึกษาศาสตร์,122.0,219.0,341.0,0.0,0.0,0.0,122.0,219.0,341.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะบริหารธุรกิจ,85.0,240.0,325.0,0.0,0.0,0.0,85.0,240.0,325.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะอุตสาหกรรมเกษตร,63.0,216.0,279.0,0.0,0.0,0.0,63.0,216.0,279.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะวิจิตรศิลป์,75.0,188.0,263.0,0.0,0.0,0.0,75.0,188.0,263.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะการสื่อสารมวลชน,71.0,131.0,202.0,0.0,0.0,0.0,71.0,131.0,202.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะสังคมศาสตร์,50.0,150.0,200.0,0.0,0.0,0.0,50.0,150.0,200.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะพยาบาลศาสตร์,31.0,144.0,175.0,0.0,0.0,0.0,31.0,144.0,175.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,90.0,84.0,174.0,1.0,0.0,1.0,89.0,84.0,173.0,0.005747126436781609,0.9942528735632183,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,62.0,102.0,164.0,0.0,0.0,0.0,62.0,102.0,164.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะเทคนิคการแพทย์,54.0,105.0,159.0,0.0,0.0,0.0,54.0,105.0,159.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะนิติศาสตร์,41.0,111.0,152.0,0.0,0.0,0.0,41.0,111.0,152.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะสถาปัตยกรรมศาสตร์,33.0,80.0,113.0,0.0,0.0,0.0,33.0,80.0,113.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะแพทยศาสตร์,41.0,39.0,80.0,0.0,0.0,0.0,41.0,39.0,80.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะเภสัชศาสตร์,28.0,52.0,80.0,0.0,0.0,0.0,28.0,52.0,80.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,35.0,31.0,66.0,0.0,0.0,0.0,35.0,31.0,66.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะสัตวแพทยศาสตร์,23.0,38.0,61.0,0.0,0.0,0.0,23.0,38.0,61.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะทันตแพทยศาสตร์,17.0,29.0,46.0,0.0,0.0,0.0,17.0,29.0,46.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,วิทยาลัยพหุวิทยาการและสหวิทยาการ,6.0,21.0,27.0,0.0,0.0,0.0,6.0,21.0,27.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,คณะสาธารณสุขศาสตร์,5.0,9.0,14.0,0.0,0.0,0.0,5.0,9.0,14.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,สถาบันนโยบายสาธารณะ,2.0,10.0,12.0,0.0,0.0,0.0,2.0,10.0,12.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,สถาบันวิศวกรรมชีวการแพทย์,4.0,4.0,8.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
first_generation,2567,,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,5.0,3.0,8.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,1.0,data_s002002__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
