admission_scope,admit_year,faculty_code,faculty_name,issued_male,issued_female,issued_total,waived_male,waived_female,waived_total,remaining_male,remaining_female,remaining_total,waive_rate,yield_rate,source_file
all,2569,,คณะสถาปัตยกรรมศาสตร์,102.0,131.0,233.0,9.0,4.0,13.0,93.0,127.0,220.0,0.055793991416309016,0.944206008583691,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะเภสัชศาสตร์,80.0,134.0,214.0,5.0,7.0,12.0,75.0,127.0,202.0,0.056074766355140186,0.9439252336448598,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,92.0,73.0,165.0,7.0,6.0,13.0,85.0,67.0,152.0,0.07878787878787878,0.9212121212121213,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะสัตวแพทยศาสตร์,38.0,90.0,128.0,1.0,10.0,11.0,37.0,80.0,117.0,0.0859375,0.9140625,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,วิทยาลัยพหุวิทยาการและสหวิทยาการ,41.0,56.0,97.0,8.0,17.0,25.0,33.0,39.0,72.0,0.25773195876288657,0.7422680412371134,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะสาธารณสุขศาสตร์,13.0,33.0,46.0,2.0,4.0,6.0,11.0,29.0,40.0,0.13043478260869565,0.8695652173913043,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,สถาบันนโยบายสาธารณะ,21.0,14.0,35.0,9.0,4.0,13.0,12.0,10.0,22.0,0.37142857142857144,0.6285714285714286,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,3.0,6.0,9.0,1.0,2.0,3.0,2.0,4.0,6.0,0.3333333333333333,0.6666666666666666,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,สถาบันวิศวกรรมชีวการแพทย์,8.0,1.0,9.0,3.0,1.0,4.0,5.0,0.0,5.0,0.4444444444444444,0.5555555555555556,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2568,,คณะวิศวกรรมศาสตร์,1010.0,425.0,1435.0,59.0,18.0,77.0,951.0,407.0,1358.0,0.05365853658536585,0.9463414634146341,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะมนุษยศาสตร์,340.0,751.0,1091.0,19.0,31.0,50.0,321.0,720.0,1041.0,0.045829514207149404,0.9541704857928506,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะวิทยาศาสตร์,438.0,550.0,988.0,32.0,25.0,57.0,406.0,525.0,931.0,0.057692307692307696,0.9423076923076923,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะบริหารธุรกิจ,244.0,592.0,836.0,18.0,35.0,53.0,226.0,557.0,783.0,0.06339712918660287,0.9366028708133971,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะเศรษฐศาสตร์,292.0,471.0,763.0,17.0,48.0,65.0,275.0,423.0,698.0,0.08519003931847968,0.9148099606815203,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะเกษตรศาสตร์,247.0,409.0,656.0,13.0,21.0,34.0,234.0,388.0,622.0,0.051829268292682924,0.948170731707317,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะศึกษาศาสตร์,201.0,385.0,586.0,10.0,7.0,17.0,191.0,378.0,569.0,0.02901023890784983,0.9709897610921502,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะอุตสาหกรรมเกษตร,168.0,387.0,555.0,6.0,15.0,21.0,162.0,372.0,534.0,0.03783783783783784,0.9621621621621622,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
all,2568,,คณะวิจิตรศิลป์,155.0,294.0,449.0,2.0,12.0,14.0,153.0,282.0,435.0,0.031180400890868598,0.9688195991091314,data_s002001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
